user_id,item_id,rating,interaction_type,device,timestamp
1011.0,520,3.7,purchase,mobile_app,2024-04-03 01:57:22
1054.0,544,4.9,view,mobile_app,2024-03-04 21:06:22
1200.0,536,3.4,view,mobile_app,2024-04-14 19:47:09
1061.0,511,5.0,view,mobile_app,2024-02-15 13:01:11
1189.0,522,5.0,view,mobile_app,2024-04-15 21:55:47
1064.0,518,3.0,purchase,web,2024-02-10 22:06:24
1010.0,531,5.0,add_to_cart,web,2024-02-26 06:52:58
1118.0,523,5.0,view,web,2024-03-19 07:14:01
1169.0,513,5.0,view,web,2024-04-12 10:17:55
1018.0,550,1.7,purchase,web,2024-03-12 11:41:32
1103.0,544,5.0,view,mobile_app,2024-05-17 10:01:07
1067.0,512,5.0,purchase,mobile_app,2024-05-28 08:02:06
1153.0,528,1.2,view,mobile_app,2024-03-29 23:50:20
1112.0,539,3.5,view,web,2024-05-10 03:24:57
1148.0,513,3.2,view,web,2024-03-06 01:45:27
1001.0,534,4.0,view,web,2024-05-17 21:46:47
1189.0,543,4.8,view,web,2024-02-20 11:27:04
1171.0,522,3.6,purchase,mobile_app,2024-06-08 10:42:54
1032.0,547,3.6,view,web,2024-03-17 16:19:42
1105.0,521,5.0,view,web,2024-04-13 22:18:35
1033.0,513,4.2,view,web,2024-04-17 21:24:43
1192.0,512,4.1,view,mobile_app,2024-06-06 18:19:25
1141.0,501,4.3,purchase,mobile_app,2024-03-18 09:13:27
1149.0,539,3.7,view,web,2024-06-16 10:29:28
1114.0,544,5.0,view,web,2024-02-24 16:30:50
1189.0,511,5.0,view,mobile_app,2024-06-17 02:18:32
1170.0,541,1.4,view,mobile_app,2024-06-07 10:05:52
1193.0,516,5.0,view,web,2024-06-21 09:14:51
1051.0,510,3.2,view,mobile_app,2024-01-07 01:15:30
1157.0,550,3.4,view,web,2024-01-19 14:26:56
1162.0,537,3.3,view,web,2024-02-19 22:44:24
1127.0,526,4.8,view,web,2024-03-03 04:41:44
